,name,age,height,short-age
461,Richard Benjamin,87,6ft 1,False
462,Nigel Bennett,76,6ft 1,False
463,Robby Benson,69,5ft 10,False
464,Peter Berg,61,5ft 11,False
465,Senta Berger,84,5ft 4,False
466,Patrick Bergin,74,6ft 3,False
467,Sandahl Bergman,74,5ft 9,False
468,Elizabeth Berkley,53,5ft 9,False
469,Steven Berkoff,88,5ft 9,False
470,Sandra Bernhard,70,5ft 10,False
471,Corbin Bernsen,71,5ft 10,False
472,Halle Berry,59,5ft 5,False
473,Valerie Bertinelli,65,5ft 3,False
474,Martine Beswick,84,5ft 6,False
475,Richard Beymer,86,6ft 2,False
476,Kathryn Bigelow,74,5ft 11,False
477,Traci Bingham,57,5ft 5,False
478,Shane Black,64,5ft 11,False
479,Cate Blanchett,56,5ft 8,False
480,Brenda Blethyn,79,5ft 2,False
481,Hart Bochner,69,6ft 0,False
482,Jon Bon Jovi,63,5ft 9,False
483,Lisa Bonet,58,5ft 2,False
484,Barry Bostwick,80,6ft 3,False
485,Timothy Bottoms,74,5ft 11,False
486,Lorraine Bracco,71,5ft 7,False
487,Sonia Braga,75,5ft 2,False
488,Lillo Brancato,49,5ft 7,False
489,Beau Bridges,84,5ft 10,False
490,Jim Broadbent,76,6ft 2,False
491,James Brolin,85,6ft 3,False
492,Josh Brolin,57,5ft 9,False
493,Albert Brooks,78,5ft 10,False
494,Avery Brooks,77,6ft 1,False
495,Bryan Brown,78,6ft,False
496,Betty Buckley,78,5ft 6,False
497,Carol Burnett,92,5ft 6,False
498,Ellen Burstyn,93,5ft 6,False
499,Gary Busey,81,6ft 0,False
500,Jake Busey,54,6ft 3,False
501,Dean Cain,59,5ft 11,False
502,Simon Callow,76,5ft 7,False
503,Billy Campbell,66,6ft 3,False
504,Dyan Cannon,88,5ft 5,False
505,Kate Capshaw,72,5ft 6,False
506,Claudia Cardinale,87,5ft 6,False
507,Mariah Carey,56,5ft 7,False
508,Robert Carlyle,64,5ft 6,False
509,Keith Carradine,76,6ft 1,False
510,Robert Carradine,71,5ft 11,False
511,Veronica Cartwright,76,5ft 4,False
512,Dana Carvey,70,5ft 8,False
513,Nick Cassavetes,66,6ft 6,True
514,Shaun Cassidy,67,5ft 10,False
515,Maxwell Caulfield,66,6ft 0,False
516,Jim Caviezel,57,6ft 1,False
517,Ben Chaplin,55,5ft 10,False
518,Josh Charles,54,5ft 11,False
519,David Charvet,53,5ft 11,False
520,Joan Chen,64,5ft 4,False
521,Maggie Cheung,61,5ft 6,False
522,Lois Chiles,78,5ft 7,False
523,Anna Chlumsky,45,5ft 2,False
524,Rae Dawn Chong,64,5ft 7,False
525,Tommy Chong,87,5ft 9,False
526,Julie Christie,85,5ft 3,False
527,Andrew Dice Clay,68,5ft 11,False
528,Bill Clinton,79,6ft 1,False
529,Toni Collette,53,5ft 7,False
530,Joan Collins,92,5ft 4,False
531,Holly Marie Combs,52,5ft 1,False
532,Jeffrey Combs,71,5ft 7,False
533,Jason Connery,62,5ft 11,False
534,Sofia Coppola,54,5ft 4,True
535,Bud Cort,77,5ft 9,False
536,Bill Cosby,88,6ft 0,False
537,Courteney Cox,61,5ft 5,False
538,Ronny Cox,87,6ft 2,False
539,Peter Coyote,84,6ft 3,False
540,Lindsay Crouse,77,5ft 5,False
541,Billy Crudup,57,5ft 8,False
542,Jon Cryer,60,5ft 8,False
543,Kieran Culkin,43,5ft 5,False
544,Alan Cumming,60,5ft 9,False
545,Timothy Dalton,79,6ft 1,False
546,Charles Dance,79,6ft 3,False
547,Jeff Daniels,70,6ft 2,False
548,Blythe Danner,82,5ft 7,False
549,Ted Danson,78,6ft 2,False
550,Tony Danza,74,5ft 9,False
551,Stacey Dash,58,5ft 4,False
552,Robert Davi,74,6ft 1,False
553,Jaye Davidson,57,5ft 8,False
554,Embeth Davidtz,60,5ft 8,False
555,Jeremy Davies,56,5ft 8,False
556,Judy Davis,70,5ft 4,False
557,Warwick Davis,55,3ft 6,False
558,Bruce Davison,79,5ft 11,False
559,Pam Dawber,74,5ft 7,False
560,Ellen DeGeneres,67,5ft 7,False
561,Benicio Del Toro,58,6ft 1,False
562,Kim Delaney,67,5ft 7,False
563,Patrick Dempsey,59,5ft 9,True
564,Judi Dench,91,5ft 1,False
565,Bruce Dern,89,6ft 1,False
566,William Devane,86,5ft 10,False
567,Susan Dey,73,5ft 7,False
568,Angie Dickinson,94,5ft 5,False
569,Kevin Dillon,60,5ft 8,False
570,Donna Dixon,68,5ft 9,False
571,Stephen Dorff,52,5ft 7,False
572,Illeana Douglas,64,5ft 7,False
573,Patrick Duffy,76,6ft 2,False
574,Keir Dullea,89,6ft 0,False
575,Faye Dunaway,84,5ft 7,False
576,Adrian Dunbar,67,5ft 11,False
577,Griffin Dunne,70,5ft 7,False
578,Christopher Eccleston,61,5ft 11,False
579,Aaron Eckhart,57,5ft 10,False
580,Nicole Eggert,53,5ft 1,False
581,Britt Ekland,83,5ft 5,False
582,Carmen Electra,53,5ft 2,False
583,Jenna Elfman,54,5ft 10,False
584,Hector Elizondo,89,5ft 9,False
585,Noah Emmerich,60,6ft 2,False
586,Adam Sandler,59,5ft 9,True
587,Jeff Fahey,73,5ft 11,False
588,Debrah Farentino,66,5ft 7,False
589,Mia Farrow,80,5ft 4,False
590,William Fichtner,69,5ft 11,False
591,Joseph Fiennes,55,5ft 11,False
592,Harvey Fierstein,73,6ft 0,False
593,Tara Fitzgerald,58,5ft 5,False
594,Sean Patrick Flanery,60,5ft 11,False
595,Calista Flockhart,61,5ft 5,False
596,Lara Flynn Boyle,55,5ft 5,True
597,Megan Follows,57,5ft 2,False
598,Claire Forlani,54,5ft 5,False
599,William Forsythe,70,5ft 10,False
600,Meg Foster,77,5ft 6,False
601,Dennis Franz,81,5ft 9,False
602,Matt Frewer,67,6ft 2,False
603,Monique Gabrielle,63,5ft 6,False
604,Charlotte Gainsbourg,54,5ft 7,False
605,Peter Gallagher,70,5ft 9,False
606,Vincent Gallo,64,5ft 9,False
607,Victor Garber,76,6ft,False
608,Jennie Garth,53,5ft 5,False
609,Rebecca Gayheart,54,5ft 6,False
610,Sarah Michelle Gellar,48,5ft 2,False
611,Susan George,75,5ft 3,False
612,Gil Gerard,82,6ft 1,False
613,Balthazar Getty,50,5ft 9,False
614,Cynthia Gibb,62,5ft 4,False
615,Melissa Gilbert,61,5ft 4,False
616,Annabeth Gish,54,5ft 8,False
617,Paul Michael Glaser,82,5ft 10,False
618,Scott Glenn,86,6ft 0,False
619,John Glover,81,6ft 0,False
620,Jenette Goldstein,65,5ft 1,False
621,Bobcat Goldthwait,63,5ft 6,False
622,Tony Goldwyn,65,6ft 1,False
623,Elliott Gould,87,6ft 2,False
624,Heather Graham,55,5ft 7,False
625,Kelsey Grammer,70,6ft 1,False
626,Rupert Graves,62,5ft 10,False
627,Erin Gray,75,5ft 7,False
628,Seth Green,51,5ft 2,False
629,Graham Greene,73,5ft 10,False
630,Joel Grey,93,5ft 4,False
631,Richard Grieco,60,5ft 10,False
632,Thomas Ian Griffith,63,6ft 4,False
633,Christopher Guest,77,5ft 11,False
634,Carla Gugino,54,5ft 4,True
635,Lukas Haas,49,5ft 10,False
636,Stacy Haiduk,57,5ft 7,True
637,Anthony Michael Hall,57,6ft 0,False
638,George Hamilton,86,6ft 1,False
639,John Hannah,63,5ft 9,False
640,Marcia Gay Harden,66,5ft 4,False
641,Mark Harmon,74,6ft 0,False
